ï..Taxon,TPLName,Family,Reference,Year,Country,Population,Latitude,Longitude,Dry_storage,Setting,Sterilization,Nutrients,Substrate,Container_type,Container_size,Container_number,Number_per_container,Incubation_days,Scarification,Stratification_days,Stratification_temperature,Stratification_type,Stratification,Light,Photoperiod,Alternating,Tdif,Tmax,Tmin,Tmean,Temperature,Germinated,Number_seeds
Aristolochia macrophylla,Aristolochia macrophylla,Aristolochiaceae,"Adams, C. A., et al. (2011). ""Using size-class structure to monitor growth of underdeveloped embryos in seeds of three Aristolochia species: implications for seed ecology."" Seed Science Research 21(02): 159-164.",1999,USA,"Pine Mountain, Letcher County, Kentucky, USA",37.05,-82.86666666666666,N,Incubator,,,Sand,Petri,5.5 cm,3,50,90,N,0,None,None,N,Y,14,N,0,5,5,5,5,0,150
Aristolochia macrophylla,Aristolochia macrophylla,Aristolochiaceae,"Adams, C. A., et al. (2011). ""Using size-class structure to monitor growth of underdeveloped embryos in seeds of three Aristolochia species: implications for seed ecology."" Seed Science Research 21(02): 159-164.",1999,USA,"Pine Mountain, Letcher County, Kentucky, USA",37.05,-82.86666666666666,N,Incubator,,,Sand,Petri,5.5 cm,3,50,90,N,0,None,None,N,Y,14,Y,10,25,15,20.833333333333336,20,108,150
Aristolochia macrophylla,Aristolochia macrophylla,Aristolochiaceae,"Adams, C. A., et al. (2011). ""Using size-class structure to monitor growth of underdeveloped embryos in seeds of three Aristolochia species: implications for seed ecology."" Seed Science Research 21(02): 159-164.",1999,USA,"Pine Mountain, Letcher County, Kentucky, USA",37.05,-82.86666666666666,N,Incubator,,,Sand,Petri,5.5 cm,3,50,90,N,84,5,Cold,Y,N,0,Y,10,20,10,15,15,75,150
Aristolochia macrophylla,Aristolochia macrophylla,Aristolochiaceae,"Adams, C. A., et al. (2011). ""Using size-class structure to monitor growth of underdeveloped embryos in seeds of three Aristolochia species: implications for seed ecology."" Seed Science Research 21(02): 159-164.",1999,USA,"Pine Mountain, Letcher County, Kentucky, USA",37.05,-82.86666666666666,N,Incubator,,,Sand,Petri,5.5 cm,3,50,90,N,0,None,None,N,Y,14,Y,9,15,6,11.25,10,108,150
Aristolochia macrophylla,Aristolochia macrophylla,Aristolochiaceae,"Adams, C. A., et al. (2011). ""Using size-class structure to monitor growth of underdeveloped embryos in seeds of three Aristolochia species: implications for seed ecology."" Seed Science Research 21(02): 159-164.",1999,USA,"Pine Mountain, Letcher County, Kentucky, USA",37.05,-82.86666666666666,N,Incubator,,,Sand,Petri,5.5 cm,3,50,90,N,84,5,Cold,Y,N,0,Y,15,30,15,22.5,20,75,150
Aristolochia macrophylla,Aristolochia macrophylla,Aristolochiaceae,"Adams, C. A., et al. (2011). ""Using size-class structure to monitor growth of underdeveloped embryos in seeds of three Aristolochia species: implications for seed ecology."" Seed Science Research 21(02): 159-164.",1999,USA,"Pine Mountain, Letcher County, Kentucky, USA",37.05,-82.86666666666666,N,Incubator,,,Sand,Petri,5.5 cm,3,50,90,N,0,None,None,N,Y,14,Y,10,20,10,15.833333333333336,15,80,150
Aristolochia macrophylla,Aristolochia macrophylla,Aristolochiaceae,"Adams, C. A., et al. (2011). ""Using size-class structure to monitor growth of underdeveloped embryos in seeds of three Aristolochia species: implications for seed ecology."" Seed Science Research 21(02): 159-164.",1999,USA,"Pine Mountain, Letcher County, Kentucky, USA",37.05,-82.86666666666666,N,Incubator,,,Sand,Petri,5.5 cm,3,50,90,N,84,5,Cold,Y,N,0,Y,10,25,15,20,20,150,150
Aristolochia macrophylla,Aristolochia macrophylla,Aristolochiaceae,"Adams, C. A., et al. (2011). ""Using size-class structure to monitor growth of underdeveloped embryos in seeds of three Aristolochia species: implications for seed ecology."" Seed Science Research 21(02): 159-164.",1999,USA,"Pine Mountain, Letcher County, Kentucky, USA",37.05,-82.86666666666666,N,Incubator,,,Sand,Petri,5.5 cm,3,50,90,N,84,5,Cold,Y,N,0,Y,9,15,6,10.5,10,75,150
Aristolochia macrophylla,Aristolochia macrophylla,Aristolochiaceae,"Adams, C. A., et al. (2011). ""Using size-class structure to monitor growth of underdeveloped embryos in seeds of three Aristolochia species: implications for seed ecology."" Seed Science Research 21(02): 159-164.",1999,USA,"Pine Mountain, Letcher County, Kentucky, USA",37.05,-82.86666666666666,N,Incubator,,,Sand,Petri,5.5 cm,3,50,90,N,84,5,Cold,Y,N,0,Y,10,25,15,20,20,75,150
Aristolochia macrophylla,Aristolochia macrophylla,Aristolochiaceae,"Adams, C. A., et al. (2011). ""Using size-class structure to monitor growth of underdeveloped embryos in seeds of three Aristolochia species: implications for seed ecology."" Seed Science Research 21(02): 159-164.",1999,USA,"Pine Mountain, Letcher County, Kentucky, USA",37.05,-82.86666666666666,N,Incubator,,,Sand,Petri,5.5 cm,3,50,90,N,0,None,None,N,Y,14,Y,15,35,20,28.75,30,14,150
Aristolochia macrophylla,Aristolochia macrophylla,Aristolochiaceae,"Adams, C. A., et al. (2011). ""Using size-class structure to monitor growth of underdeveloped embryos in seeds of three Aristolochia species: implications for seed ecology."" Seed Science Research 21(02): 159-164.",1999,USA,"Pine Mountain, Letcher County, Kentucky, USA",37.05,-82.86666666666666,N,Incubator,,,Sand,Petri,5.5 cm,3,50,90,N,0,None,None,N,Y,14,Y,15,30,15,23.75,25,96,150
Sorbus aucuparia,Sorbus aucuparia,Rosaceae,"Afroze, F. and C. O'Reilly (2015). ""Effect of harvest date, drying, short-term storage and freezing after chilling on the germination of rowan seeds."" Scandinavian Journal of Forest Research 31(4): 339-346.",2011,Ireland,"Ballintemple, Carlow, Ireland",52.733333333333334,-6.7,N,Incubator,,,Filter paper,Box,12 x 8 x 5 cm,4,25,60,N,224,4,Cold,Y,Y,8,N,0,15,15,15,15,50,100
Sorbus aucuparia,Sorbus aucuparia,Rosaceae,"Afroze, F. and C. Oâ€™Reilly (2013). ""Breaking seed dormancy in European rowan seeds and its implications for regeneration."" New Forests 44(4): 547-557.",2009,Ireland,"Ballintemple, Carlow, Ireland",52.71666666666667,-6.683333333333334,Y,Incubator,,,Filter paper,Box,12 x 8 x 5 cm,4,25,60,N,0,None,None,N,Y,8,N,0,15,15,15,15,0,100
Sorbus aucuparia,Sorbus aucuparia,Rosaceae,"Afroze, F. and C. Oâ€™Reilly (2013). ""Breaking seed dormancy in European rowan seeds and its implications for regeneration."" New Forests 44(4): 547-557.",2009,Ireland,"Ballintemple, Carlow, Ireland",52.71666666666667,-6.683333333333334,Y,Incubator,,,Filter paper,Box,12 x 8 x 5 cm,4,25,60,N,0,None,None,N,Y,8,Y,10,30,20,23.333333333333332,25,0,100
Sorbus aucuparia,Sorbus aucuparia,Rosaceae,"Afroze, F. and C. Oâ€™Reilly (2013). ""Breaking seed dormancy in European rowan seeds and its implications for regeneration."" New Forests 44(4): 547-557.",2009,Ireland,"Ballintemple, Carlow, Ireland",52.71666666666667,-6.683333333333334,Y,Incubator,,,Filter paper,Box,12 x 8 x 5 cm,4,25,60,N,140,4,Cold,Y,Y,8,N,0,15,15,15,15,75,100
Sorbus aucuparia,Sorbus aucuparia,Rosaceae,"Afroze, F. and C. Oâ€™Reilly (2013). ""Breaking seed dormancy in European rowan seeds and its implications for regeneration."" New Forests 44(4): 547-557.",2009,Ireland,"Ballintemple, Carlow, Ireland",52.71666666666667,-6.683333333333334,Y,Incubator,,,Filter paper,Box,12 x 8 x 5 cm,4,25,60,N,140,4,Cold,Y,Y,8,Y,10,30,20,23.333333333333332,25,80,100
Prunus spinosa,Prunus spinosa,Rosaceae,"Afroze, F. O. R., C. (2016). ""Effects of seed moisture content, warm, chilling, and exogenous hormone treatments and germination temperature on the germination of blackthorn seeds."" Plant Biosystems - An International Journal Dealing with all Aspects of Plant Biology 151(3): 474-483.",2010,Ireland,"Coillte Seed Centre, Ballintemple, Co. Carlow, Ireland",52.71666666666667,-6.683333333333334,Y,Incubator,,,Filter paper,Box,12 x 8 x 5 cm,4,12,50,N,91,20C+4C,W+C,Y,Y,8,Y,10,30,20,23.333333333333332,25,12,48
Prunus spinosa,Prunus spinosa,Rosaceae,"Afroze, F. O. R., C. (2016). ""Effects of seed moisture content, warm, chilling, and exogenous hormone treatments and germination temperature on the germination of blackthorn seeds."" Plant Biosystems - An International Journal Dealing with all Aspects of Plant Biology 151(3): 474-483.",2010,Ireland,"Coillte Seed Centre, Ballintemple, Co. Carlow, Ireland",52.71666666666667,-6.683333333333334,Y,Incubator,,,Filter paper,Box,12 x 8 x 5 cm,4,12,50,N,70,20C,Warm,Y,Y,8,N,0,15,15,15,15,0,48
Prunus spinosa,Prunus spinosa,Rosaceae,"Afroze, F. O. R., C. (2016). ""Effects of seed moisture content, warm, chilling, and exogenous hormone treatments and germination temperature on the germination of blackthorn seeds."" Plant Biosystems - An International Journal Dealing with all Aspects of Plant Biology 151(3): 474-483.",2010,Ireland,"Coillte Seed Centre, Ballintemple, Co. Carlow, Ireland",52.71666666666667,-6.683333333333334,Y,Incubator,,,Filter paper,Box,12 x 8 x 5 cm,4,12,50,N,70,20C,Warm,Y,Y,8,Y,10,30,20,23.333333333333332,25,0,48
Prunus spinosa,Prunus spinosa,Rosaceae,"Afroze, F. O. R., C. (2016). ""Effects of seed moisture content, warm, chilling, and exogenous hormone treatments and germination temperature on the germination of blackthorn seeds."" Plant Biosystems - An International Journal Dealing with all Aspects of Plant Biology 151(3): 474-483.",2010,Ireland,"Coillte Seed Centre, Ballintemple, Co. Carlow, Ireland",52.71666666666667,-6.683333333333334,Y,Incubator,,,Filter paper,Box,12 x 8 x 5 cm,4,12,50,N,91,20C+4C,W+C,Y,Y,8,N,0,15,15,15,15,22,48
