ï..Taxon,TPLName,Family,Reference,Year,Country,Population,Latitude,Longitude,Dry_storage,Setting,Sterilization,Nutrients,Substrate,Container_type,Container_size,Container_number,Number_per_container,Incubation_days,Scarification,Stratification_days,Stratification_temperature,Stratification_type,Stratification,Light,Photoperiod,Alternating,Tdif,Tmax,Tmin,Tmean,Temperature,Germinated,Number_seeds
Acer pseudoplatanus,Acer pseudoplatanus,Sapindaceae,"Daws, M. I., et al. (2006). ""Variable desiccation tolerance in Acer pseudoplatanus seeds in relation to developmental conditions: a case of phenotypic recalcitrance?"" Functional Plant Biology 33(1): 59-66.",2003,Poland,"Poznan, Poland",52.416666666666664,16.883333333333333,N,Incubator,,,Agar,Box,17 x 11 x 6cm,3,20,84,N,0,None,None,N,Y,8,N,0,15,15,15,15,5,60
Acer pseudoplatanus,Acer pseudoplatanus,Sapindaceae,"Daws, M. I., et al. (2006). ""Variable desiccation tolerance in Acer pseudoplatanus seeds in relation to developmental conditions: a case of phenotypic recalcitrance?"" Functional Plant Biology 33(1): 59-66.",2003,Poland,"Poznan, Poland",52.416666666666664,16.883333333333333,N,Incubator,,,Agar,Box,17 x 11 x 6cm,3,20,84,N,0,None,None,N,Y,8,N,0,20,20,20,20,4,60
Acer pseudoplatanus,Acer pseudoplatanus,Sapindaceae,"Daws, M. I., et al. (2006). ""Variable desiccation tolerance in Acer pseudoplatanus seeds in relation to developmental conditions: a case of phenotypic recalcitrance?"" Functional Plant Biology 33(1): 59-66.",2003,UK,"Aberdeen, Scotland",57.166666666666664,-2.066666666666667,N,Incubator,,,Agar,Box,17 x 11 x 6cm,3,20,84,N,0,None,None,N,Y,8,N,0,35,35,35,35,0,60
Acer pseudoplatanus,Acer pseudoplatanus,Sapindaceae,"Daws, M. I., et al. (2006). ""Variable desiccation tolerance in Acer pseudoplatanus seeds in relation to developmental conditions: a case of phenotypic recalcitrance?"" Functional Plant Biology 33(1): 59-66.",2003,France,"Angers, France",47.15,-0.5333333333333333,N,Incubator,,,Agar,Box,17 x 11 x 6cm,3,20,84,N,0,None,None,N,Y,8,N,0,5,5,5,5,48,60
Acer pseudoplatanus,Acer pseudoplatanus,Sapindaceae,"Daws, M. I., et al. (2006). ""Variable desiccation tolerance in Acer pseudoplatanus seeds in relation to developmental conditions: a case of phenotypic recalcitrance?"" Functional Plant Biology 33(1): 59-66.",2003,Italy,"Mt Lessini, Italy",45.68333333333333,11.216666666666667,N,Incubator,,,Agar,Box,17 x 11 x 6cm,3,20,84,N,0,None,None,N,Y,8,N,0,25,25,24.999999999999996,25,11,60
Acer pseudoplatanus,Acer pseudoplatanus,Sapindaceae,"Daws, M. I., et al. (2006). ""Variable desiccation tolerance in Acer pseudoplatanus seeds in relation to developmental conditions: a case of phenotypic recalcitrance?"" Functional Plant Biology 33(1): 59-66.",2003,Greece,"Thessaly, Greece",39.25,21.666666666666668,N,Incubator,,,Agar,Box,17 x 11 x 6cm,3,20,84,N,0,None,None,N,Y,8,N,0,10,10,10,10,26,60
Acer pseudoplatanus,Acer pseudoplatanus,Sapindaceae,"Daws, M. I., et al. (2006). ""Variable desiccation tolerance in Acer pseudoplatanus seeds in relation to developmental conditions: a case of phenotypic recalcitrance?"" Functional Plant Biology 33(1): 59-66.",2003,UK,"Ardingly, England",51.05,-0.1,N,Incubator,,,Agar,Box,17 x 11 x 6cm,3,20,84,N,0,None,None,N,Y,8,N,0,30,30,30,30,10,60
Acer pseudoplatanus,Acer pseudoplatanus,Sapindaceae,"Daws, M. I., et al. (2006). ""Variable desiccation tolerance in Acer pseudoplatanus seeds in relation to developmental conditions: a case of phenotypic recalcitrance?"" Functional Plant Biology 33(1): 59-66.",2003,Norway,"Bergen, Norway",60.2,5.316666666666666,N,Incubator,,,Agar,Box,17 x 11 x 6cm,3,20,84,N,0,None,None,N,Y,8,N,0,10,10,10,10,26,60
Acer pseudoplatanus,Acer pseudoplatanus,Sapindaceae,"Daws, M. I., et al. (2006). ""Variable desiccation tolerance in Acer pseudoplatanus seeds in relation to developmental conditions: a case of phenotypic recalcitrance?"" Functional Plant Biology 33(1): 59-66.",2003,Norway,"Bergen, Norway",60.2,5.316666666666666,N,Incubator,,,Agar,Box,17 x 11 x 6cm,3,20,84,N,0,None,None,N,Y,8,N,0,25,25,24.999999999999996,25,2,60
Acer pseudoplatanus,Acer pseudoplatanus,Sapindaceae,"Daws, M. I., et al. (2006). ""Variable desiccation tolerance in Acer pseudoplatanus seeds in relation to developmental conditions: a case of phenotypic recalcitrance?"" Functional Plant Biology 33(1): 59-66.",2003,UK,"Ardingly, England",51.05,-0.1,N,Incubator,,,Agar,Box,17 x 11 x 6cm,3,20,84,N,0,None,None,N,Y,8,N,0,5,5,5,5,43,60
Acer pseudoplatanus,Acer pseudoplatanus,Sapindaceae,"Daws, M. I., et al. (2006). ""Variable desiccation tolerance in Acer pseudoplatanus seeds in relation to developmental conditions: a case of phenotypic recalcitrance?"" Functional Plant Biology 33(1): 59-66.",2003,Norway,"Bergen, Norway",60.2,5.316666666666666,N,Incubator,,,Agar,Box,17 x 11 x 6cm,3,20,84,N,0,None,None,N,Y,8,N,0,30,30,30,30,1,60
Acer pseudoplatanus,Acer pseudoplatanus,Sapindaceae,"Daws, M. I., et al. (2006). ""Variable desiccation tolerance in Acer pseudoplatanus seeds in relation to developmental conditions: a case of phenotypic recalcitrance?"" Functional Plant Biology 33(1): 59-66.",2003,UK,"Aberdeen, Scotland",57.166666666666664,-2.066666666666667,N,Incubator,,,Agar,Box,17 x 11 x 6cm,3,20,84,N,0,None,None,N,Y,8,N,0,10,10,10,10,13,60
Acer pseudoplatanus,Acer pseudoplatanus,Sapindaceae,"Daws, M. I., et al. (2006). ""Variable desiccation tolerance in Acer pseudoplatanus seeds in relation to developmental conditions: a case of phenotypic recalcitrance?"" Functional Plant Biology 33(1): 59-66.",2003,UK,"Aberdeen, Scotland",57.166666666666664,-2.066666666666667,N,Incubator,,,Agar,Box,17 x 11 x 6cm,3,20,84,N,0,None,None,N,Y,8,N,0,30,30,30,30,1,60
Acer pseudoplatanus,Acer pseudoplatanus,Sapindaceae,"Daws, M. I., et al. (2006). ""Variable desiccation tolerance in Acer pseudoplatanus seeds in relation to developmental conditions: a case of phenotypic recalcitrance?"" Functional Plant Biology 33(1): 59-66.",2003,France,"Angers, France",47.15,-0.5333333333333333,N,Incubator,,,Agar,Box,17 x 11 x 6cm,3,20,84,N,0,None,None,N,Y,8,N,0,30,30,30,30,21,60
Acer pseudoplatanus,Acer pseudoplatanus,Sapindaceae,"Daws, M. I., et al. (2006). ""Variable desiccation tolerance in Acer pseudoplatanus seeds in relation to developmental conditions: a case of phenotypic recalcitrance?"" Functional Plant Biology 33(1): 59-66.",2003,UK,"Aberdeen, Scotland",57.166666666666664,-2.066666666666667,N,Incubator,,,Agar,Box,17 x 11 x 6cm,3,20,84,N,0,None,None,N,Y,8,N,0,15,15,15,15,2,60
Acer pseudoplatanus,Acer pseudoplatanus,Sapindaceae,"Daws, M. I., et al. (2006). ""Variable desiccation tolerance in Acer pseudoplatanus seeds in relation to developmental conditions: a case of phenotypic recalcitrance?"" Functional Plant Biology 33(1): 59-66.",2003,Poland,"Poznan, Poland",52.416666666666664,16.883333333333333,N,Incubator,,,Agar,Box,17 x 11 x 6cm,3,20,84,N,0,None,None,N,Y,8,N,0,30,30,30,30,1,60
Acer pseudoplatanus,Acer pseudoplatanus,Sapindaceae,"Daws, M. I., et al. (2006). ""Variable desiccation tolerance in Acer pseudoplatanus seeds in relation to developmental conditions: a case of phenotypic recalcitrance?"" Functional Plant Biology 33(1): 59-66.",2003,Poland,"Poznan, Poland",52.416666666666664,16.883333333333333,N,Incubator,,,Agar,Box,17 x 11 x 6cm,3,20,84,N,0,None,None,N,Y,8,N,0,35,35,35,35,0,60
Acer pseudoplatanus,Acer pseudoplatanus,Sapindaceae,"Daws, M. I., et al. (2006). ""Variable desiccation tolerance in Acer pseudoplatanus seeds in relation to developmental conditions: a case of phenotypic recalcitrance?"" Functional Plant Biology 33(1): 59-66.",2003,UK,"Ardingly, England",51.05,-0.1,N,Incubator,,,Agar,Box,17 x 11 x 6cm,3,20,84,N,0,None,None,N,Y,8,N,0,20,20,20,20,1,60
Acer pseudoplatanus,Acer pseudoplatanus,Sapindaceae,"Daws, M. I., et al. (2006). ""Variable desiccation tolerance in Acer pseudoplatanus seeds in relation to developmental conditions: a case of phenotypic recalcitrance?"" Functional Plant Biology 33(1): 59-66.",2003,Greece,"Thessaly, Greece",39.25,21.666666666666668,N,Incubator,,,Agar,Box,17 x 11 x 6cm,3,20,84,N,0,None,None,N,Y,8,N,0,15,15,15,15,4,60
Acer pseudoplatanus,Acer pseudoplatanus,Sapindaceae,"Daws, M. I., et al. (2006). ""Variable desiccation tolerance in Acer pseudoplatanus seeds in relation to developmental conditions: a case of phenotypic recalcitrance?"" Functional Plant Biology 33(1): 59-66.",2003,UK,"Ardingly, England",51.05,-0.1,N,Incubator,,,Agar,Box,17 x 11 x 6cm,3,20,84,N,0,None,None,N,Y,8,N,0,35,35,35,35,8,60
Acer pseudoplatanus,Acer pseudoplatanus,Sapindaceae,"Daws, M. I., et al. (2006). ""Variable desiccation tolerance in Acer pseudoplatanus seeds in relation to developmental conditions: a case of phenotypic recalcitrance?"" Functional Plant Biology 33(1): 59-66.",2003,UK,"Aberdeen, Scotland",57.166666666666664,-2.066666666666667,N,Incubator,,,Agar,Box,17 x 11 x 6cm,3,20,84,N,0,None,None,N,Y,8,N,0,20,20,20,20,2,60
Acer pseudoplatanus,Acer pseudoplatanus,Sapindaceae,"Daws, M. I., et al. (2006). ""Variable desiccation tolerance in Acer pseudoplatanus seeds in relation to developmental conditions: a case of phenotypic recalcitrance?"" Functional Plant Biology 33(1): 59-66.",2003,Greece,"Thessaly, Greece",39.25,21.666666666666668,N,Incubator,,,Agar,Box,17 x 11 x 6cm,3,20,84,N,0,None,None,N,Y,8,N,0,25,25,24.999999999999996,25,2,60
Acer pseudoplatanus,Acer pseudoplatanus,Sapindaceae,"Daws, M. I., et al. (2006). ""Variable desiccation tolerance in Acer pseudoplatanus seeds in relation to developmental conditions: a case of phenotypic recalcitrance?"" Functional Plant Biology 33(1): 59-66.",2003,UK,"Ardingly, England",51.05,-0.1,N,Incubator,,,Agar,Box,17 x 11 x 6cm,3,20,84,N,0,None,None,N,Y,8,N,0,15,15,15,15,1,60
Acer pseudoplatanus,Acer pseudoplatanus,Sapindaceae,"Daws, M. I., et al. (2006). ""Variable desiccation tolerance in Acer pseudoplatanus seeds in relation to developmental conditions: a case of phenotypic recalcitrance?"" Functional Plant Biology 33(1): 59-66.",2003,Greece,"Thessaly, Greece",39.25,21.666666666666668,N,Incubator,,,Agar,Box,17 x 11 x 6cm,3,20,84,N,0,None,None,N,Y,8,N,0,20,20,20,20,2,60
Acer pseudoplatanus,Acer pseudoplatanus,Sapindaceae,"Daws, M. I., et al. (2006). ""Variable desiccation tolerance in Acer pseudoplatanus seeds in relation to developmental conditions: a case of phenotypic recalcitrance?"" Functional Plant Biology 33(1): 59-66.",2003,UK,"Aberdeen, Scotland",57.166666666666664,-2.066666666666667,N,Incubator,,,Agar,Box,17 x 11 x 6cm,3,20,84,N,0,None,None,N,Y,8,N,0,5,5,5,5,16,60
Acer pseudoplatanus,Acer pseudoplatanus,Sapindaceae,"Daws, M. I., et al. (2006). ""Variable desiccation tolerance in Acer pseudoplatanus seeds in relation to developmental conditions: a case of phenotypic recalcitrance?"" Functional Plant Biology 33(1): 59-66.",2003,UK,"Ardingly, England",51.05,-0.1,N,Incubator,,,Agar,Box,17 x 11 x 6cm,3,20,84,N,0,None,None,N,Y,8,N,0,25,25,24.999999999999996,25,2,60
Acer pseudoplatanus,Acer pseudoplatanus,Sapindaceae,"Daws, M. I., et al. (2006). ""Variable desiccation tolerance in Acer pseudoplatanus seeds in relation to developmental conditions: a case of phenotypic recalcitrance?"" Functional Plant Biology 33(1): 59-66.",2003,Poland,"Poznan, Poland",52.416666666666664,16.883333333333333,N,Incubator,,,Agar,Box,17 x 11 x 6cm,3,20,84,N,0,None,None,N,Y,8,N,0,5,5,5,5,48,60
Acer pseudoplatanus,Acer pseudoplatanus,Sapindaceae,"Daws, M. I., et al. (2006). ""Variable desiccation tolerance in Acer pseudoplatanus seeds in relation to developmental conditions: a case of phenotypic recalcitrance?"" Functional Plant Biology 33(1): 59-66.",2003,Norway,"Bergen, Norway",60.2,5.316666666666666,N,Incubator,,,Agar,Box,17 x 11 x 6cm,3,20,84,N,0,None,None,N,Y,8,N,0,5,5,5,5,60,60
Acer pseudoplatanus,Acer pseudoplatanus,Sapindaceae,"Daws, M. I., et al. (2006). ""Variable desiccation tolerance in Acer pseudoplatanus seeds in relation to developmental conditions: a case of phenotypic recalcitrance?"" Functional Plant Biology 33(1): 59-66.",2003,Greece,"Thessaly, Greece",39.25,21.666666666666668,N,Incubator,,,Agar,Box,17 x 11 x 6cm,3,20,84,N,0,None,None,N,Y,8,N,0,5,5,5,5,48,60
Acer pseudoplatanus,Acer pseudoplatanus,Sapindaceae,"Daws, M. I., et al. (2006). ""Variable desiccation tolerance in Acer pseudoplatanus seeds in relation to developmental conditions: a case of phenotypic recalcitrance?"" Functional Plant Biology 33(1): 59-66.",2003,France,"Angers, France",47.15,-0.5333333333333333,N,Incubator,,,Agar,Box,17 x 11 x 6cm,3,20,84,N,0,None,None,N,Y,8,N,0,25,25,24.999999999999996,25,13,60
Acer pseudoplatanus,Acer pseudoplatanus,Sapindaceae,"Daws, M. I., et al. (2006). ""Variable desiccation tolerance in Acer pseudoplatanus seeds in relation to developmental conditions: a case of phenotypic recalcitrance?"" Functional Plant Biology 33(1): 59-66.",2003,Italy,"Mt Lessini, Italy",45.68333333333333,11.216666666666667,N,Incubator,,,Agar,Box,17 x 11 x 6cm,3,20,84,N,0,None,None,N,Y,8,N,0,10,10,10,10,24,60
Betula pubescens,Betula pubescens,Betulaceae,"De Atrip, N., et al. (2007). ""Target seed moisture content, chilling and priming pretreatments influence germination temperature response in Alnus glutinosa and Betula pubescens."" Scandinavian Journal of Forest Research 22(4): 273-279.",2000,Ireland,"Co. Laois, Ireland",52.833333333333336,-6.916666666666667,Y,Incubator,,,Filter paper,Box,12 x8 x 5 cm,4,50,56,N,84,4,Cold,Y,Y,8,N,0,20,20,20,20,48,200
Betula pubescens,Betula pubescens,Betulaceae,"De Atrip, N., et al. (2007). ""Target seed moisture content, chilling and priming pretreatments influence germination temperature response in Alnus glutinosa and Betula pubescens."" Scandinavian Journal of Forest Research 22(4): 273-279.",2000,Ireland,"Co. Cork, Ireland",51.85,-8.583333333333334,Y,Incubator,,,Filter paper,Box,12 x8 x 5 cm,4,50,56,N,84,4,Cold,Y,Y,8,N,0,20,20,20,20,36,200
Betula pubescens,Betula pubescens,Betulaceae,"De Atrip, N., et al. (2007). ""Target seed moisture content, chilling and priming pretreatments influence germination temperature response in Alnus glutinosa and Betula pubescens."" Scandinavian Journal of Forest Research 22(4): 273-279.",2000,Ireland,"Co. Cork, Ireland",51.85,-8.583333333333334,Y,Incubator,,,Filter paper,Box,12 x8 x 5 cm,4,50,56,N,84,4,Cold,Y,Y,8,N,0,15,15,15,15,32,200
Betula pubescens,Betula pubescens,Betulaceae,"De Atrip, N., et al. (2007). ""Target seed moisture content, chilling and priming pretreatments influence germination temperature response in Alnus glutinosa and Betula pubescens."" Scandinavian Journal of Forest Research 22(4): 273-279.",2000,Ireland,"Co. Laois, Ireland",52.833333333333336,-6.916666666666667,Y,Incubator,,,Filter paper,Box,12 x8 x 5 cm,4,50,56,N,84,4,Cold,Y,Y,8,N,0,7.5,7.5,7.5,5,34,200
Betula pubescens,Betula pubescens,Betulaceae,"De Atrip, N., et al. (2007). ""Target seed moisture content, chilling and priming pretreatments influence germination temperature response in Alnus glutinosa and Betula pubescens."" Scandinavian Journal of Forest Research 22(4): 273-279.",2000,Ireland,"Co. Laois, Ireland",52.833333333333336,-6.916666666666667,Y,Incubator,,,Filter paper,Box,12 x8 x 5 cm,4,50,56,N,84,4,Cold,Y,Y,8,N,0,10,10,10,10,44,200
Betula pubescens,Betula pubescens,Betulaceae,"De Atrip, N., et al. (2007). ""Target seed moisture content, chilling and priming pretreatments influence germination temperature response in Alnus glutinosa and Betula pubescens."" Scandinavian Journal of Forest Research 22(4): 273-279.",2000,Ireland,"Co. Cork, Ireland",51.85,-8.583333333333334,Y,Incubator,,,Filter paper,Box,12 x8 x 5 cm,4,50,56,N,84,4,Cold,Y,Y,8,N,0,7.5,7.5,7.5,5,14,200
Alnus glutinosa,Alnus glutinosa,Betulaceae,"De Atrip, N., et al. (2007). ""Target seed moisture content, chilling and priming pretreatments influence germination temperature response in Alnus glutinosa and Betula pubescens."" Scandinavian Journal of Forest Research 22(4): 273-279.",2001,UK,Mid-eastern England,52.78333333333333,-0,Y,Incubator,,,Filter paper,Box,12 x8 x 5 cm,4,50,56,N,84,4,Cold,Y,Y,8,N,0,15,15,15,15,104,200
Alnus glutinosa,Alnus glutinosa,Betulaceae,"De Atrip, N., et al. (2007). ""Target seed moisture content, chilling and priming pretreatments influence germination temperature response in Alnus glutinosa and Betula pubescens."" Scandinavian Journal of Forest Research 22(4): 273-279.",2001,UK,South-west Scotland,55.416666666666664,-4.033333333333333,Y,Incubator,,,Filter paper,Box,12 x8 x 5 cm,4,50,56,N,84,4,Cold,Y,Y,8,N,0,25,25,24.999999999999996,25,110,200
Alnus glutinosa,Alnus glutinosa,Betulaceae,"De Atrip, N., et al. (2007). ""Target seed moisture content, chilling and priming pretreatments influence germination temperature response in Alnus glutinosa and Betula pubescens."" Scandinavian Journal of Forest Research 22(4): 273-279.",2001,UK,Mid-eastern England,52.78333333333333,-0,Y,Incubator,,,Filter paper,Box,12 x8 x 5 cm,4,50,56,N,84,4,Cold,Y,Y,8,N,0,7.5,7.5,7.5,5,86,200
Alnus glutinosa,Alnus glutinosa,Betulaceae,"De Atrip, N., et al. (2007). ""Target seed moisture content, chilling and priming pretreatments influence germination temperature response in Alnus glutinosa and Betula pubescens."" Scandinavian Journal of Forest Research 22(4): 273-279.",2001,UK,South-west Scotland,55.416666666666664,-4.033333333333333,Y,Incubator,,,Filter paper,Box,12 x8 x 5 cm,4,50,56,N,84,4,Cold,Y,Y,8,N,0,10,10,10,10,92,200
Alnus glutinosa,Alnus glutinosa,Betulaceae,"De Atrip, N., et al. (2007). ""Target seed moisture content, chilling and priming pretreatments influence germination temperature response in Alnus glutinosa and Betula pubescens."" Scandinavian Journal of Forest Research 22(4): 273-279.",2001,UK,Mid-eastern England,52.78333333333333,-0,Y,Incubator,,,Filter paper,Box,12 x8 x 5 cm,4,50,56,N,84,4,Cold,Y,Y,8,N,0,20,20,20,20,116,200
Alnus glutinosa,Alnus glutinosa,Betulaceae,"De Atrip, N., et al. (2007). ""Target seed moisture content, chilling and priming pretreatments influence germination temperature response in Alnus glutinosa and Betula pubescens."" Scandinavian Journal of Forest Research 22(4): 273-279.",2001,UK,Mid-eastern England,52.78333333333333,-0,Y,Incubator,,,Filter paper,Box,12 x8 x 5 cm,4,50,56,N,84,4,Cold,Y,Y,8,N,0,25,25,24.999999999999996,25,112,200
Betula pubescens,Betula pubescens,Betulaceae,"De Atrip, N., et al. (2007). ""Target seed moisture content, chilling and priming pretreatments influence germination temperature response in Alnus glutinosa and Betula pubescens."" Scandinavian Journal of Forest Research 22(4): 273-279.",2000,Ireland,"Co. Laois, Ireland",52.833333333333336,-6.916666666666667,Y,Incubator,,,Filter paper,Box,12 x8 x 5 cm,4,50,56,N,84,4,Cold,Y,Y,8,N,0,25,25,24.999999999999996,25,46,200
Alnus glutinosa,Alnus glutinosa,Betulaceae,"De Atrip, N., et al. (2007). ""Target seed moisture content, chilling and priming pretreatments influence germination temperature response in Alnus glutinosa and Betula pubescens."" Scandinavian Journal of Forest Research 22(4): 273-279.",2001,UK,Mid-eastern England,52.78333333333333,-0,Y,Incubator,,,Filter paper,Box,12 x8 x 5 cm,4,50,56,N,84,4,Cold,Y,Y,8,N,0,30,30,30,30,110,200
Alnus glutinosa,Alnus glutinosa,Betulaceae,"De Atrip, N., et al. (2007). ""Target seed moisture content, chilling and priming pretreatments influence germination temperature response in Alnus glutinosa and Betula pubescens."" Scandinavian Journal of Forest Research 22(4): 273-279.",2001,UK,South-west Scotland,55.416666666666664,-4.033333333333333,Y,Incubator,,,Filter paper,Box,12 x8 x 5 cm,4,50,56,N,84,4,Cold,Y,Y,8,N,0,15,15,15,15,106,200
Betula pubescens,Betula pubescens,Betulaceae,"De Atrip, N., et al. (2007). ""Target seed moisture content, chilling and priming pretreatments influence germination temperature response in Alnus glutinosa and Betula pubescens."" Scandinavian Journal of Forest Research 22(4): 273-279.",2000,Ireland,"Co. Cork, Ireland",51.85,-8.583333333333334,Y,Incubator,,,Filter paper,Box,12 x8 x 5 cm,4,50,56,N,84,4,Cold,Y,Y,8,N,0,30,30,30,30,30,200
Alnus glutinosa,Alnus glutinosa,Betulaceae,"De Atrip, N., et al. (2007). ""Target seed moisture content, chilling and priming pretreatments influence germination temperature response in Alnus glutinosa and Betula pubescens."" Scandinavian Journal of Forest Research 22(4): 273-279.",2001,UK,South-west Scotland,55.416666666666664,-4.033333333333333,Y,Incubator,,,Filter paper,Box,12 x8 x 5 cm,4,50,56,N,84,4,Cold,Y,Y,8,N,0,7.5,7.5,7.5,5,64,200
Betula pubescens,Betula pubescens,Betulaceae,"De Atrip, N., et al. (2007). ""Target seed moisture content, chilling and priming pretreatments influence germination temperature response in Alnus glutinosa and Betula pubescens."" Scandinavian Journal of Forest Research 22(4): 273-279.",2000,Ireland,"Co. Laois, Ireland",52.833333333333336,-6.916666666666667,Y,Incubator,,,Filter paper,Box,12 x8 x 5 cm,4,50,56,N,84,4,Cold,Y,Y,8,N,0,15,15,15,15,42,200
Alnus glutinosa,Alnus glutinosa,Betulaceae,"De Atrip, N., et al. (2007). ""Target seed moisture content, chilling and priming pretreatments influence germination temperature response in Alnus glutinosa and Betula pubescens."" Scandinavian Journal of Forest Research 22(4): 273-279.",2001,UK,Mid-eastern England,52.78333333333333,-0,Y,Incubator,,,Filter paper,Box,12 x8 x 5 cm,4,50,56,N,84,4,Cold,Y,Y,8,N,0,10,10,10,10,100,200
Betula pubescens,Betula pubescens,Betulaceae,"De Atrip, N., et al. (2007). ""Target seed moisture content, chilling and priming pretreatments influence germination temperature response in Alnus glutinosa and Betula pubescens."" Scandinavian Journal of Forest Research 22(4): 273-279.",2000,Ireland,"Co. Laois, Ireland",52.833333333333336,-6.916666666666667,Y,Incubator,,,Filter paper,Box,12 x8 x 5 cm,4,50,56,N,84,4,Cold,Y,Y,8,N,0,30,30,30,30,44,200
Alnus glutinosa,Alnus glutinosa,Betulaceae,"De Atrip, N., et al. (2007). ""Target seed moisture content, chilling and priming pretreatments influence germination temperature response in Alnus glutinosa and Betula pubescens."" Scandinavian Journal of Forest Research 22(4): 273-279.",2001,UK,South-west Scotland,55.416666666666664,-4.033333333333333,Y,Incubator,,,Filter paper,Box,12 x8 x 5 cm,4,50,56,N,84,4,Cold,Y,Y,8,N,0,30,30,30,30,104,200
Betula pubescens,Betula pubescens,Betulaceae,"De Atrip, N., et al. (2007). ""Target seed moisture content, chilling and priming pretreatments influence germination temperature response in Alnus glutinosa and Betula pubescens."" Scandinavian Journal of Forest Research 22(4): 273-279.",2000,Ireland,"Co. Cork, Ireland",51.85,-8.583333333333334,Y,Incubator,,,Filter paper,Box,12 x8 x 5 cm,4,50,56,N,84,4,Cold,Y,Y,8,N,0,10,10,10,10,26,200
Betula pubescens,Betula pubescens,Betulaceae,"De Atrip, N., et al. (2007). ""Target seed moisture content, chilling and priming pretreatments influence germination temperature response in Alnus glutinosa and Betula pubescens."" Scandinavian Journal of Forest Research 22(4): 273-279.",2000,Ireland,"Co. Cork, Ireland",51.85,-8.583333333333334,Y,Incubator,,,Filter paper,Box,12 x8 x 5 cm,4,50,56,N,84,4,Cold,Y,Y,8,N,0,25,25,24.999999999999996,25,32,200
Alnus glutinosa,Alnus glutinosa,Betulaceae,"De Atrip, N., et al. (2007). ""Target seed moisture content, chilling and priming pretreatments influence germination temperature response in Alnus glutinosa and Betula pubescens."" Scandinavian Journal of Forest Research 22(4): 273-279.",2001,UK,South-west Scotland,55.416666666666664,-4.033333333333333,Y,Incubator,,,Filter paper,Box,12 x8 x 5 cm,4,50,56,N,84,4,Cold,Y,Y,8,N,0,20,20,20,20,114,200
Anemone nemorosa,Anemone nemorosa,Ranunculaceae,"De Frenne, P., et al. (2010). ""Significant effects of temperature on the reproductive output of the forest herb Anemone nemorosa L."" Forest Ecology and Management 259(4): 809-817.",2006,Sweden,"Stockholm, Sweden",59.31666666666667,18.05,Y,Incubator,,,Filter paper,Petri,,3,50,42,N,182,20+2,W+C,Y,Y,14,N,0,20,20,20,20,24,150
Anemone nemorosa,Anemone nemorosa,Ranunculaceae,"De Frenne, P., et al. (2010). ""Significant effects of temperature on the reproductive output of the forest herb Anemone nemorosa L."" Forest Ecology and Management 259(4): 809-817.",2006,Sweden,"Umea, Sweden",63.81666666666667,20.25,Y,Incubator,,,Filter paper,Petri,,3,50,42,N,182,20+2,W+C,Y,Y,14,N,0,20,20,20,20,0,150
Anemone nemorosa,Anemone nemorosa,Ranunculaceae,"De Frenne, P., et al. (2010). ""Significant effects of temperature on the reproductive output of the forest herb Anemone nemorosa L."" Forest Ecology and Management 259(4): 809-817.",2006,Belgium,"Leuven, Belgium",50.86666666666667,4.683333333333334,Y,Incubator,,,Filter paper,Petri,,3,50,42,N,182,20+2,W+C,Y,Y,14,N,0,20,20,20,20,3,150
Anemone nemorosa,Anemone nemorosa,Ranunculaceae,"De Frenne, P., et al. (2010). ""Significant effects of temperature on the reproductive output of the forest herb Anemone nemorosa L."" Forest Ecology and Management 259(4): 809-817.",2006,France,"Amiens, France",49.88333333333333,2.283333333333333,Y,Incubator,,,Filter paper,Petri,,3,50,42,N,182,20+2,W+C,Y,Y,14,N,0,20,20,20,20,27,150
Anemone nemorosa,Anemone nemorosa,Ranunculaceae,"De Frenne, P., et al. (2010). ""Significant effects of temperature on the reproductive output of the forest herb Anemone nemorosa L."" Forest Ecology and Management 259(4): 809-817.",2006,Sweden,"Alnarp, Sweden",55.65,13.066666666666666,Y,Incubator,,,Filter paper,Petri,,3,50,42,N,182,20+2,W+C,Y,Y,14,N,0,20,20,20,20,25,150
Anemone nemorosa,Anemone nemorosa,Ranunculaceae,"De Frenne, P., et al. (2010). ""Significant effects of temperature on the reproductive output of the forest herb Anemone nemorosa L."" Forest Ecology and Management 259(4): 809-817.",2006,Germany,"Bremen, Germany",53.06666666666667,8.783333333333333,Y,Incubator,,,Filter paper,Petri,,3,50,42,N,182,20+2,W+C,Y,Y,14,N,0,20,20,20,20,13,150
Anemone nemorosa,Anemone nemorosa,Ranunculaceae,"De Frenne, P., et al. (2010). ""Significant effects of temperature on the reproductive output of the forest herb Anemone nemorosa L."" Forest Ecology and Management 259(4): 809-817.",2006,Germany,"Postdam, Germany",52.38333333333333,13.05,Y,Incubator,,,Filter paper,Petri,,3,50,42,N,182,20+2,W+C,Y,Y,14,N,0,20,20,20,20,10,150
Nyssa sylvatica var. biflora,Nyssa sylvatica,Cornaceae,"DeBell, D. S. N., Aubrey W. (1972). ""Some Factors Affecting Germination of Swamp Tupelo Seeds."" Ecology 53(3): 504-506.",1971,USA,"Bluebird Swamp, Berkeley Co, South Carolina, USA",33.1,-79.95,N,Incubator,,,"Sand, peat and soil",Pot,2.2 l,2,25,35,N,300,4,Cold,Y,Y,16,N,0,15,15,15,15,42,50
