"families","species","species.original","life.form","H","L","N","ellenberg.L","eduardo.mayor.L","eduardo.filled.L","ell_light_uk","ell_L_it","L1.fr","L2.fr","L.cz","L.land","ellenberg.H","eduardo.mayor.H","eduardo.filled.H","ell_H_uk","ell_H_it","H1.fr","H2.fr","H.cz","H.land","ellenberg.N","eduardo.mayor.N","eduardo.filled.N","ell_N_uk","ell_N_it","N1.fr","N2.fr","N.cz","N.land"
"Adoxaceae","Viburnum_lantana","Viburnum_lantana","woody",2,1,2,"7","3","3","7","7","7","NA","7","3","5.333333333333333","2","2","NA","4","4","NA","4","2","4","2","2","NA","5","4","NA","5","2"
"Adoxaceae","Viburnum_opulus","Viburnum_opulus","woody",3,1,3,"6","3","3","6","6","6","NA","6","3","6.666666666666667","4","4","NA","7","6","NA","6","3.5","6","3","3","NA","6","6","NA","6","3"
"Alismataceae","Alisma_gramineum","Alisma_gramineum","perennial",3,2,2,"7","NA","NA","7","7","7.5","NA","7","4","1.3333333333333333","NA","NA","11","10","10","NA","11","5","4","NA","NA","4.3333333329999997","7","3","NA","5","3"
"Alismataceae","Alisma_plantago-aquatica","Alisma_plantago-aquatica","perennial",3,2,3,"7","4","4","7","7","7","NA","7","4","1.3333333333333333","5","5","10","10","9","NA","10","5","8","4","4","7.6666666670000003","8","7","NA","8","3"
"Alismataceae","Baldellia_ranunculoides","Baldellia_ranunculoides","perennial",3,2,2,"8","4","4","NA","8","8","NA","NA","4","1.3333333333333333","5","5","10","11","9","NA","NA","5","2","1","1","2","8","3","NA","NA","3"
"Alismataceae","Damasonium_alisma","Damasonium_alisma","perennial",3,2,2,"NA","NA","NA","8","7","8","NA","NA","4","NA","NA","NA","10","10","8","NA","NA","5","NA","NA","NA","3","7","3","NA","NA","2"
"Alismataceae","Sagittaria_sagittifolia","Sagittaria_sagittifolia","perennial",3,2,3,"7","NA","NA","7","7","7.5","NA","7","3","1.3333333333333333","NA","NA","NA","10","10.5","NA","10","5","6","NA","NA","NA","6","7.5","NA","6","4"
"Amaranthaceae","Amaranthus_graecizans","Amaranthus_graecizans","annual",1,3,3,"9","5","NA","9","8","8.5","NA","9","4","4","2","NA","3","4","4.5","NA","3","1.5","8","4","NA","8","8","7.5","NA","8","4"
"Amaranthaceae","Amaranthus_lividus","Amaranthus_lividus","annual",2,2,3,"8","4","NA","NA","8","NA","NA","NA","NA","5.333333333333333","3","NA","NA","4","NA","NA","NA","NA","8","4","NA","NA","8","NA","NA","NA","NA"
"Amaranthaceae","Amaranthus_lividus","Amaranthus_lividus&polygonoides","annual",2,2,3,"8","4","NA","NA","8","NA","NA","NA","NA","5.333333333333333","3","NA","NA","4","NA","NA","NA","NA","8","4","NA","NA","8","NA","NA","NA","NA"
"Amaranthaceae","Atriplex_calotheca","Atriplex_calotheca","annual",3,3,3,"9","NA","NA","NA","NA","NA","NA","NA","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","8","NA","NA","NA","NA","NA","NA","NA","NA"
"Amaranthaceae","Atriplex_glabriuscula","Atriplex_glabriuscula","annual",3,3,3,"9","NA","NA","9","NA","9","NA","NA","NA","9.3333333333333339","NA","NA","6","NA","6","NA","NA","NA","9","NA","NA","8","NA","7","NA","NA","NA"
"Amaranthaceae","Atriplex_laciniata","Atriplex_laciniata","annual",2,3,3,"9","NA","NA","9","NA","9","NA","NA","NA","9.3333333333333339","NA","NA","6","NA","5","NA","NA","NA","8","NA","NA","7","NA","7","NA","NA","NA"
"Amaranthaceae","Atriplex_littoralis","Atriplex_littoralis","annual",2,3,3,"9","NA","NA","9","9","9","NA","NA","NA","6.666666666666667","NA","NA","6","3","6","NA","NA","NA","9","NA","NA","6","9","8","NA","NA","NA"
"Amaranthaceae","Atriplex_patula","Atriplex_patula","annual",2,2,3,"6","4","4","NA","6","7","NA","7","4","6.666666666666667","3","3","5","5","6","NA","5","2.5","7","4","4","7","5","7","NA","7","4"
"Amaranthaceae","Atriplex_praecox","Atriplex_praecox","annual",2,NA,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","6","NA","NA","NA","NA","NA"
"Amaranthaceae","Atriplex_prostrata","Atriplex_prostrata","annual",3,2,3,"NA","4","4","8","9","8","NA","8","4","NA","3","3","6.6666666670000003","6","8","NA","7","3","NA","3","3","8","9","7","NA","8","4"
"Amaranthaceae","Atriplex_sagittata","Atriplex_sagittata","annual",2,3,3,"9","NA","NA","NA","NA","9","NA","9","4","6.666666666666667","NA","NA","NA","NA","5","NA","5","2.5","7","NA","NA","NA","NA","7","NA","7","4"
"Amaranthaceae","Bassia_scoparia","Bassia_scoparia","annual",1,3,3,"NA","NA","NA","NA","NA","NA","NA","8","4.5","NA","NA","NA","4","NA","NA","NA","4","1.5","NA","NA","NA","6","NA","NA","NA","6","3"
"Amaranthaceae","Beta_vulgaris","Beta_vulgaris","perennial",2,3,3,"9","NA","NA","9","11","7.6666666666666696","NA","NA","4","8","NA","NA","5","6","4.6666666666666696","NA","NA","3","9","NA","NA","8","5","8","NA","NA","4"
"Amaranthaceae","Blitum_bonus-henricus","Blitum_bonus-henricus","perennial",2,2,3,"NA","NA","NA","NA","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","9","NA","NA","NA"
"Amaranthaceae","Bosea_cypria","Bosea_cypria","woody",NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Amaranthaceae","Camphorosma_annua","Camphorosma_annua","annual",NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Amaranthaceae","Ceratocarpus_arenarius","Ceratocarpus_arenarius","perennial",NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Amaranthaceae","Chenopodium_album","Chenopodium_album","annual",2,2,3,"7.5","4","4","7","7","NA","NA","7","4","5.333333333333333","2","2","4.6666666670000003","4","NA","NA","5","2","6.5","4","4","7","7","NA","NA","7","4"
"Amaranthaceae","Chenopodium_ambrosioides","Chenopodium_ambrosioides","annual",1,2,3,"NA","5","NA","NA","8","NA","NA","NA","4","NA","2","NA","NA","2","NA","NA","NA","2","NA","4","NA","NA","5","NA","NA","NA","4"
"Amaranthaceae","Chenopodium_botrys","Chenopodium_botrys","annual",2,2,3,"8","4","NA","NA","NA","NA","NA","NA","4","5.333333333333333","2","NA","NA","NA","NA","NA","NA","1","6","4","NA","NA","NA","NA","NA","NA","4"
"Amaranthaceae","Chenopodium_chenopodioides","Chenopodium_chenopodioides","annual",3,3,3,"NA","NA","NA","8.3333333330000006","NA","NA","NA","9","5","NA","NA","NA","7","NA","NA","NA","7","3","NA","NA","NA","8.6666666669999994","NA","NA","NA","9","5"
"Amaranthaceae","Chenopodium_ficifolium","Chenopodium_ficifolium","annual",2,2,3,"7","4","4","7","7","7","NA","7","4","8","3","3","6","6","6","NA","6","3.5","7","4","4","7.6666666670000003","7","7","NA","9","4"
"Amaranthaceae","Chenopodium_foliosum","Chenopodium_foliosum","annual",2,2,3,"8","NA","4","NA","7","NA","NA","8","NA","5.333333333333333","NA","2","NA","5","NA","NA","4","NA","8","NA","5","NA","6","NA","NA","8","NA"
"Amaranthaceae","Chenopodium_giganteum","Chenopodium_giganteum","annual",2,1,3,"NA","NA","NA","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","7","NA","NA","NA","NA"
"Amaranthaceae","Chenopodium_glaucum","Chenopodium_glaucum","annual",3,2,3,"8","NA","4","8","8","NA","NA","8","4","8","NA","2","6","6","NA","NA","6","3.5","9","NA","5","9","9","NA","NA","9","5"
"Amaranthaceae","Chenopodium_hybridum","Chenopodium_hybridum","annual",2,2,3,"7","NA","NA","7","7","NA","NA","7","4","6.666666666666667","NA","NA","4.6666666670000003","5","NA","NA","5","3","8","NA","NA","7.6666666670000003","8","NA","NA","8","4"
"Amaranthaceae","Chenopodium_quinoa","Chenopodium_quinoa","annual",NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Amaranthaceae","Chenopodium_rubrum","Chenopodium_rubrum","annual",3,2,3,"8","NA","NA","NA","8","NA","NA","8","4","8.6666666666666661","NA","NA","6.6666666670000003","6","NA","NA","7","3.5","9","NA","NA","8.6666666669999994","9","NA","NA","9","5"
"Amaranthaceae","Chenopodium_schraderianum","Chenopodium_schraderianum","annual",NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Amaranthaceae","Chenopodium_urbicum","Chenopodium_urbicum","annual",2,2,3,"7","NA","NA","7","8","NA","NA","7","4","5.333333333333333","NA","NA","5","6","NA","NA","6","2.5","7","NA","NA","7.3333333329999997","6","NA","NA","8","5"
"Amaranthaceae","Chenopodium_vulvaria","Chenopodium_vulvaria","annual",2,2,3,"7","NA","4","7.3333333329999997","7","7","NA","8","4","5.333333333333333","NA","3","4","4","5","NA","4","2","9","NA","4","9","9","9","NA","9","5"
"Amaranthaceae","Halimione_pedunculata","Halimione_pedunculata","annual",3,3,3,"9","NA","NA","NA","NA","9","NA","NA","NA","10.666666666666666","NA","NA","NA","NA","8","NA","NA","NA","8","NA","NA","NA","NA","7","NA","NA","NA"
"Amaranthaceae","Halimione_portulacoides","Halimione_portulacoides","woody",3,3,3,"9","5","NA","NA","11","8","NA","NA","NA","9.3333333333333339","4","NA","NA","2","8","NA","NA","NA","7","4","NA","NA","7","7","NA","NA","NA"
"Amaranthaceae","Halopeplis_amplexicaulis","Halopeplis_amplexicaulis","annual",3,3,3,"NA","NA","NA","NA","11","NA","NA","NA","NA","NA","NA","NA","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","7","NA","NA","NA","NA"
"Amaranthaceae","Halostachys_belangeriana","Halostachys_belangeriana","woody",NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Amaranthaceae","Krascheninnikovia_ceratoides","Krascheninnikovia_ceratoides","woody",1,3,2,"NA","NA","NA","NA","NA","NA","NA","9","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","3","NA"
"Amaranthaceae","Lipandra_polysperma","Lipandra_polysperma","annual",2,2,3,"NA","NA","NA","NA","NA","7.5","NA","NA","NA","NA","NA","NA","NA","NA","6.5","NA","NA","NA","NA","NA","NA","NA","NA","8","NA","NA","NA"
"Amaranthaceae","Petrosimonia_brachiata","Petrosimonia_brachiata","perennial",NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Amaranthaceae","Polycnemum_arvense","Polycnemum_arvense","annual",1,2,2,"8","NA","NA","NA","8","8","NA","9","4","4","NA","NA","NA","3","3","NA","3","1","2","NA","NA","NA","1","5","NA","3","3"
"Amaranthaceae","Polycnemum_majus","Polycnemum_majus","annual",1,2,2,"8","NA","NA","NA","8","8","NA","9","4","5.333333333333333","NA","NA","NA","3","3","NA","3","1","4","NA","NA","NA","1","5","NA","3","3"
"Amaranthaceae","Salicornia_dolichostachya","Salicornia_dolichostachya","annual",3,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Amaranthaceae","Salicornia_europaea","Salicornia_europaea","annual",3,3,2,"9","NA","NA","9","11","9","NA","NA","NA","11.333333333333334","NA","NA","NA","8","7.75","NA","NA","NA","4","NA","NA","NA","7","6","NA","NA","NA"
"Amaranthaceae","Salicornia_obscura","Salicornia_obscura","annual",3,3,2,"NA","4","NA","9","NA","NA","NA","NA","NA","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","NA","NA","NA","NA","NA"
"Amaranthaceae","Salicornia_procumbens","Salicornia_procumbens","annual",3,3,3,"NA","NA","NA","NA","NA","9","NA","NA","NA","NA","NA","NA","NA","NA","9.8000000000000007","NA","NA","NA","NA","NA","NA","NA","NA","7","NA","NA","NA"
"Amaranthaceae","Salicornia_pusilla","Salicornia_pusilla","annual",NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Amaranthaceae","Salicornia_ramosissima","Salicornia_ramosissima","annual",3,3,3,"9","4","NA","NA","11","NA","NA","NA","NA","10.666666666666666","4","NA","7","8","NA","NA","NA","NA","5","3","NA","NA","7","NA","NA","NA","NA"
"Amaranthaceae","Salsola_dendroides","Salsola_dendroides","perennial",NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Amaranthaceae","Salsola_kali","Salsola_kali","annual",2,3,3,"9","5","NA","9","9","NA","NA","NA","NA","6","2","NA","6","8","NA","NA","NA","NA","6.5","4","NA","NA","8","NA","NA","NA","NA"
"Amaranthaceae","Salsola_soda","Salsola_soda","annual",2,3,3,"NA","NA","NA","NA","9","9","NA","NA","NA","NA","NA","NA","NA","8","5","NA","NA","NA","NA","NA","NA","NA","7","8","NA","NA","NA"
"Amaranthaceae","Salsola_tragus","Salsola_tragus","annual",1,3,3,"NA","NA","NA","NA","NA","NA","NA","9","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","6","NA"
"Amaranthaceae","Sarcocornia_perennis","Sarcocornia_perennis","perennial",3,3,3,"NA","4","4","9","12","8","NA","NA","NA","NA","4","4","NA","8","8","NA","NA","NA","NA","4","4","NA","7","7","NA","NA","NA"
"Amaranthaceae","Suaeda_altissima","Suaeda_altissima","annual",NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Amaranthaceae","Suaeda_dendroides","Suaeda_dendroides","perennial",NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Amaranthaceae","Suaeda_maritima","Suaeda_maritima","annual",3,3,3,"8","4","NA","9","9","9","NA","NA","NA","10.666666666666666","4","NA","8","8","9","NA","NA","NA","7","4","NA","NA","7","7","NA","NA","NA"
"Amaranthaceae","Suaeda_splendens","Suaeda_splendens","annual",2,3,3,"NA","NA","NA","NA","11","9","NA","NA","NA","NA","NA","NA","NA","8","5","NA","NA","NA","NA","NA","NA","NA","7","8","NA","NA","NA"
"Amaranthaceae","Suaeda_vera","Suaeda_vera","woody",3,3,3,"NA","NA","NA","9","NA","8","NA","NA","NA","NA","NA","NA","7","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","7","NA","NA","NA"
"Amaryllidaceae","Allium_angulosum","Allium_angulosum","perennial",3,2,2,"8","NA","NA","NA","8","8","NA","7","4","10.666666666666666","NA","NA","NA","8","8","NA","8","3.5","2","NA","NA","NA","2","5","NA","5","3"
"Amaryllidaceae","Allium_autumnale","Allium_autumnale","perennial",NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Amaryllidaceae","Allium_bourgeaui","Allium_bourgeaui","perennial",NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Amaryllidaceae","Allium_flavum","Allium_flavum","perennial",1,3,1,"NA","NA","NA","NA","NA","9","NA","8","5","NA","NA","NA","NA","NA","4","NA","2","1","NA","NA","NA","NA","NA","3","NA","2","2"
"Amaryllidaceae","Allium_fuscoviolaceum","Allium_fuscoviolaceum","perennial",NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Amaryllidaceae","Allium_heldreichii","Allium_heldreichii","perennial",NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Amaryllidaceae","Allium_insubricum","Allium_insubricum","perennial",2,2,2,"NA","NA","NA","NA","NA","NA","NA","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","2"
"Amaryllidaceae","Allium_pallens","Allium_pallens","perennial",2,2,2,"NA","NA","NA","NA","NA","NA","NA","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","3"
"Amaryllidaceae","Allium_rubrovittatum","Allium_rubrovittatum","perennial",NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Amaryllidaceae","Allium_schoenoprasum","Allium_schoenoprasum","perennial",3,2,2,"7","4","4","7.3333333329999997","8","7","NA","7","4","6.666666666666667","4","4","6","9","6","NA","7","4","2","2","2","2.3333333330000001","6","6","NA","4","3"
"Amaryllidaceae","Allium_scorodoprasum","Allium_scorodoprasum","perennial",2,1,3,"6","NA","NA","6","7","7","NA","6","3.5","9.3333333333333339","NA","NA","6.3333333329999997","3","5","NA","6","3.25","7","NA","NA","7","5","7","NA","7","3.5"
"Amaryllidaceae","Allium_sphaerocephalon","Allium_sphaerocephalon","perennial",1,3,1,"9","5","4.5","8.6666666669999994","NA","NA","NA","8","4","4","1","1.5","3","NA","NA","NA","3","1.5","2","2","2","2.3333333330000001","NA","NA","NA","3","2"
"Amaryllidaceae","Allium_staticiforme","Allium_staticiforme","perennial",NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Amaryllidaceae","Allium_subhirsutum","Allium_subhirsutum","perennial",1,2,2,"NA","NA","NA","NA","8","8","NA","NA","NA","NA","NA","NA","NA","2","4","NA","NA","NA","NA","NA","NA","NA","2","7","NA","NA","NA"
"Amaryllidaceae","Allium_ursinum","Allium_ursinum","perennial",3,1,3,"2","2","2","3","2","4","NA","3","2","8","3","3","6","6","7","NA","6","4","8","4","4","7.6666666670000003","8","7","NA","8","3"
"Amaryllidaceae","Allium_willeanum","Allium_willeanum","perennial",NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Amaryllidaceae","Leopoldia_comosa","Leopoldia_comosa","perennial",1,1,NA,"NA","NA","5","NA","7","NA","NA","NA","NA","NA","NA","2","NA","3","NA","NA","NA","NA","NA","NA","4","NA","0","NA","NA","NA","NA"
"Amaryllidaceae","Leucojum_aestivum","Leucojum_aestivum","perennial",3,1,3,"7","NA","NA","NA","6","7","NA","6","3","12","NA","NA","8.5","7","8","NA","8","4","8","NA","NA","NA","7","5","NA","7","4"
"Amaryllidaceae","Narcissus_pseudonarcissus","Narcissus_pseudonarcissus","perennial",2,2,2,"NA","4","4","7","7","NA","NA","NA","4","NA","3","3","5","4","NA","NA","NA","3","NA","2","2","5","3","NA","NA","NA","2"
"Amaryllidaceae","Pancratium_maritimum","Pancratium_maritimum","perennial",1,3,1,"NA","5","NA","NA","11","NA","NA","NA","NA","NA","1","NA","NA","1","NA","NA","NA","NA","NA","2","NA","NA","1","NA","NA","NA","NA"
"Apiaceae","Aethusa_cynapium","Aethusa_cynapium","annual",2,1,3,"6","3","3","6","6","6.6666666666666696","NA","6","3.5","6.2222222222222259","3","3","4.5","5","5","NA","5.3333333333333304","3","6","4","4","6.5","7","7","NA","7.3333333333333304","4"
"Apiaceae","Angelica_archangelica","Angelica_archangelica","perennial",3,2,3,"7","NA","NA","7","7","8","NA","7","3","12","NA","NA","9","9","7.3333333333333304","NA","9","4.5","9","NA","NA","7","9","7","NA","7","4"
"Apiaceae","Angelica_sylvestris","Angelica_sylvestris","perennial",3,1,2,"7","NA","3.5","6.6666666670000003","4","6","NA","6","3","10.666666666666666","NA","4","8","8","6.6666666666666696","NA","8","4","4","NA","2.5","5","7","6","NA","6","3"
"Apiaceae","Anthriscus_caucalis","Anthriscus_caucalis","annual",2,2,3,"8","4","4","7.3333333329999997","7","5","NA","7","3","6.666666666666667","3","3","5","4","5","NA","5","3","6","3","3","6.3333333329999997","4","7","NA","8","4"
"Apiaceae","Anthriscus_sylvestris","Anthriscus_sylvestris","perennial",2,1,3,"7","3","3","6.6666666670000003","7","NA","NA","7","3","6.666666666666667","3","3","5","5","NA","NA","5","3.25","8","4","4","7.6666666670000003","8","NA","NA","8","4"
"Apiaceae","Apium_graveolens","Apium_graveolens","perennial",3,2,3,"9","NA","5","8","7","7","NA","NA","4","10.666666666666666","NA","4","8","7","8","NA","NA","4","8","NA","4","7","7","5","NA","NA","4"
"Apiaceae","Astrodaucus_littoralis","Astrodaucus_littoralis","perennial",NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Apiaceae","Athamanta_albanica","Athamanta_albanica","perennial",NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Apiaceae","Berula_erecta","Berula_erecta","perennial",3,2,3,"8","NA","NA","7.5","8","6.5","NA","7","4","1.3333333333333333","NA","NA","10","10","10.5","NA","10","5","6","NA","NA","6.3333333329999997","7","5","NA","6","3"
"Apiaceae","Bunium_bulbocastanum","Bunium_bulbocastanum","perennial",2,2,2,"7","NA","4","7","8","NA","NA","7","4","5.333333333333333","NA","3","4","5","NA","NA","4","2","4","NA","4","4","4","NA","NA","4","3"
"Apiaceae","Bupleurum_affine","Bupleurum_affine","perennial",1,2,2,"NA","NA","NA","NA","NA","NA","NA","8","4","NA","NA","NA","NA","NA","NA","NA","3","1.5","NA","NA","NA","NA","NA","NA","NA","4","2"
"Apiaceae","Bupleurum_baldense","Bupleurum_baldense","perennial",1,3,1,"NA","4","4","NA","NA","NA","NA","NA","5","NA","1","1","3","NA","NA","NA","NA","1.5","NA","2","2","2","NA","NA","NA","NA","1"
"Apiaceae","Bupleurum_falcatum","Bupleurum_falcatum","perennial",1,1,1,"6","NA","NA","6","6","NA","NA","6","3","4","NA","NA","3","3","NA","NA","3","2","3","NA","NA","3","3","NA","NA","3","1.5"
"Apiaceae","Bupleurum_fruticosum","Bupleurum_fruticosum","woody",1,1,2,"NA","3","NA","NA","7","7","NA","NA","4","NA","2","NA","NA","3","4","NA","NA","1.5","NA","3","NA","NA","3","5","NA","NA","2"
"Apiaceae","Bupleurum_gaudianum","Bupleurum_gaudianum","annual",NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Apiaceae","Bupleurum_kakiskalae","Bupleurum_kakiskalae","perennial",NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Apiaceae","Bupleurum_marschallianum","Bupleurum_marschallianum","perennial",NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Apiaceae","Bupleurum_rotundifolium","Bupleurum_rotundifolium","annual",1,2,2,"8","NA","NA","NA","8","8","NA","8","4","4","NA","NA","3","3","4","NA","3","2","4","NA","NA","4","4","5","NA","4","3"
"Apiaceae","Bupleurum_tenuissimum","Bupleurum_tenuissimum","annual",3,3,2,"9","4","4","9","11","NA","NA","9","4","9.3333333333333339","4","4","7","4","NA","NA","7","2","4","2","2","4","2","NA","NA","4","2.5"
"Apiaceae","Carum_verticillatum","Carum_verticillatum","perennial",3,2,2,"7","4","4","7","7","NA","NA","NA","4","10.666666666666666","4","4","8","6","NA","NA","NA","4","3","2","2","2","2","NA","NA","NA","3"
"Apiaceae","Caucalis_platycarpos","Caucalis_platycarpos","annual",2,1,2,"6","NA","4","NA","6","7","NA","7","4","5.333333333333333","NA","2","4","4","4","NA","4","1.5","4","NA","4","4.6666666670000003","4","5","NA","5","3"
"Apiaceae","Chaerophyllum_elegans","Chaerophyllum_elegans","perennial",3,2,3,"NA","NA","NA","NA","NA","NA","NA","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","3.5","NA","NA","NA","NA","NA","NA","NA","NA","4"
"Apiaceae","Chaerophyllum_temulum","Chaerophyllum_temulum","annual",2,1,3,"5","NA","NA","5.3333333329999997","5","5","NA","5","3","6.666666666666667","NA","NA","5","5","5","NA","5","3","8","NA","NA","7.6666666670000003","8","8","NA","8","5"
"Apiaceae","Cicuta_virosa","Cicuta_virosa","perennial",3,1,2,"7","NA","NA","6.6666666670000003","7","7","NA","6","3","12","NA","NA","9.5","9","9","NA","9","5","5","NA","NA","5.3333333329999997","5","5","NA","6","3"
"Apiaceae","Conium_maculatum","Conium_maculatum","perennial",2,2,3,"8","4","4","NA","7","7","NA","8","4","8","3","3","5.5","4","5","NA","6","3.5","8","4","4","8","7","7","NA","8","5"
"Apiaceae","Coriandrum_sativum","Coriandrum_sativum","annual",2,2,2,"NA","NA","NA","NA","8","7","NA","NA","4","NA","NA","NA","NA","3","4","NA","NA","2.5","NA","NA","NA","NA","2","6","NA","NA","3"
"Apiaceae","Crithmum_maritimum","Crithmum_maritimum","perennial",2,3,2,"NA","5","NA","9","11","8","NA","NA","NA","NA","2","NA","6","1","5","NA","NA","NA","NA","1","NA","5","1","5","NA","NA","NA"
"Apiaceae","Daucus_carota","Daucus_carota","perennial",2,2,2,"8","4","4","NA","8","8","NA","8","4","5.333333333333333","2","2.6666666669999999","4","4","5.0769230769230802","NA","4","2.5","4","2.5","3.3333333330000001","4","4","6.1538461538461497","NA","5","2"
"Apiaceae","Daucus_carota","Daucus_carota&gummifer","perennial",2,2,2,"8","4","4","NA","8","8","NA","8","4","5.333333333333333","2","2.6666666669999999","4","4","5.0769230769230802","NA","4","2.5","4","2.5","3.3333333330000001","4","4","6.1538461538461497","NA","5","2"
"Apiaceae","Daucus_carota","Daucus_carota&major","perennial",2,2,2,"8","4","4","NA","8","8","NA","8","4","5.333333333333333","2","2.6666666669999999","4","4","5.0769230769230802","NA","4","2.5","4","2.5","3.3333333330000001","4","4","6.1538461538461497","NA","5","2"
