"families","species","species.original","life.form","H","L","N","ellenberg.L","eduardo.mayor.L","eduardo.filled.L","ell_light_uk","ell_L_it","L1.fr","L2.fr","L.cz","L.land","ellenberg.H","eduardo.mayor.H","eduardo.filled.H","ell_H_uk","ell_H_it","H1.fr","H2.fr","H.cz","H.land","ellenberg.N","eduardo.mayor.N","eduardo.filled.N","ell_N_uk","ell_N_it","N1.fr","N2.fr","N.cz","N.land"
"Poaceae","Agrostis_curtisii","Agrostis_curtisii","perennial",2,2,1,"NA","NA","4","7","NA","8","NA","NA","NA","NA","NA","2","6","NA","4","NA","NA","NA","NA","NA","1","1","NA","2","NA","NA","NA"
"Poaceae","Agrostis_gigantea","Agrostis_gigantea","perennial",3,1,3,"NA","NA","NA","7","7","7","NA","7","3","NA","NA","NA","6.6666666670000003","8","7","NA","6","3.5","NA","NA","NA","6.3333333329999997","6","6","NA","6","3"
"Poaceae","Agrostis_pourretii","Agrostis_pourretii","perennial",NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Poaceae","Agrostis_stolonifera","Agrostis_stolonifera","perennial",3,2,2,"7.5","4","4","7.3333333329999997","8","8","NA","7","3","10","4","4","6.5","6","9","NA","7","4","5.5","3","3.5","5.3333333329999997","5","5.4","NA","5","4"
"Poaceae","Agrostis_vinealis","Agrostis_vinealis","perennial",1,3,1,"NA","NA","NA","8","NA","8","NA","8","4","NA","NA","NA","3.6666666669999999","NA","3","NA","3","2","NA","NA","NA","1.6666666670000001","NA","1","NA","2","2"
"Poaceae","Aira_caryophyllea","Aira_caryophyllea","annual",1,3,1,"9","NA","4.2","8.6666666669999994","11","NA","9","9","5","2.6666666666666665","NA","1.8","2","3","NA","2","2","1","1","NA","2","1.6666666670000001","1","NA","1","2","1.5"
"Poaceae","Aira_cupaniana","Aira_cupaniana","annual",1,2,1,"NA","NA","NA","NA","8","NA","NA","NA","5","NA","NA","NA","NA","2","NA","NA","NA","1","NA","NA","NA","NA","1","NA","NA","NA","1"
"Poaceae","Aira_elegantissima","Aira_elegantissima","annual",1,3,1,"NA","NA","4","NA","NA","NA","NA","NA","5","NA","NA","2","NA","NA","NA","NA","NA","1","NA","NA","2","NA","NA","NA","NA","NA","1"
"Poaceae","Aira_praecox","Aira_praecox","annual",1,3,1,"9","NA","5","8.3333333330000006","11","NA","9","8","5","2.6666666666666665","NA","1","2.3333333330000001","3","NA","2","3","1.5","1","NA","1","1.6666666670000001","1","NA","1","2","1"
"Poaceae","Alopecurus_aequalis","Alopecurus_aequalis","perennial",3,3,3,"9","4","4","8.3333333330000006","9","8","NA","8","4","12","5","5","9","9","8","NA","9","5","9","4","4","8","9","5","NA","8","4"
"Poaceae","Alopecurus_bulbosus","Alopecurus_bulbosus","perennial",3,2,3,"8","NA","NA","8","8","8","NA","NA","4","9.3333333333333339","NA","NA","7","8","8","NA","NA","4","5","NA","NA","5","8","6","NA","NA","5"
"Poaceae","Alopecurus_geniculatus","Alopecurus_geniculatus","perennial",3,3,3,"9","5","5","8.3333333330000006","NA","8","NA","8","4","10.666666666666666","4","4","8","NA","8","NA","9","4.5","7","4","4","6.6666666670000003","NA","5","NA","7","3"
"Poaceae","Alopecurus_myosuroides","Alopecurus_myosuroides","annual",2,2,3,"6","4","4","6.3333333329999997","6","8","NA","7","4","6.666666666666667","2","2","5","6","5","NA","5","3","6","3","3","6.3333333329999997","7","7","NA","7","3"
"Poaceae","Alopecurus_pratensis","Alopecurus_pratensis","perennial",3,2,3,"6","4","4","6.6666666670000003","6","7","NA","7","4","8","3","3","5.6666666670000003","6","7","NA","6","3.5","7","4","4","7","7","7","NA","7","4"
"Poaceae","Alopecurus_utriculatus","Alopecurus_utriculatus","annual",3,2,3,"8","NA","NA","NA","8","8","NA","NA","NA","8","NA","NA","NA","8","7","NA","NA","NA","4","NA","NA","NA","8","6","NA","NA","NA"
"Poaceae","Alopecurus_vaginatus","Alopecurus_vaginatus","perennial",NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Poaceae","Ammophila_arenaria","Ammophila_arenaria","perennial",2,3,2,"9","NA","NA","9","12","9","NA","NA","NA","5.333333333333333","NA","NA","4","4","5","NA","NA","NA","5","NA","NA","3","5","5","NA","NA","NA"
"Poaceae","Anisantha_rigida","Anisantha_rigida","annual",1,3,3,"NA","NA","NA","NA","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","7","NA","NA","NA"
"Poaceae","Anisantha_sterilis","Anisantha_sterilis","annual",2,2,3,"NA","NA","NA","7","NA","7","NA","NA","NA","NA","NA","NA","4.3333333329999997","NA","4","NA","NA","NA","NA","NA","NA","6.3333333329999997","NA","8","NA","NA","NA"
"Poaceae","Anthoxanthum_odoratum","Anthoxanthum_odoratum","perennial",2,2,2,"5","4","4","7","6.6666666670000003","7","NA","7","4","6.666666666666667","3","3","NA","6.6666666670000003","5","NA","5","3","5","2","2","3","3","4","NA","4","2"
"Poaceae","Apera_spica-venti","Apera_spica-venti","annual",2,1,2,"6","NA","NA","6.6666666670000003","6","8","NA","7","3","8","NA","NA","5","6","5","NA","5","2.5","5","NA","NA","5","4","6","NA","6","4"
"Poaceae","Arrhenatherum_elatius","Arrhenatherum_elatius","perennial",2,2,3,"8","4.3333333329999997","4.1666666670000003","7.3333333329999997","8","NA","NA","7","3.5","6.666666666666667","2.3333333330000001","2.6666666669999999","5","5","NA","NA","5","3","7","3","3.5","7","7","NA","NA","7","3.5"
